timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-17T00:00:00.000Z";"2025-04-17T23:59:59.999Z";"2025-04-17T12:31:00.000Z";"2025-04-17T19:25:00.000Z";"2781";2.0832560975;2.1128685692;2.0558492545;2.0664148918;2467503711.98;120552725923.49;"2025-04-17T23:59:59.999Z"
"2025-04-16T00:00:00.000Z";"2025-04-16T23:59:59.999Z";"2025-04-16T15:28:00.000Z";"2025-04-16T08:17:00.000Z";"2781";2.0884953395;2.117895156;2.0397376906;2.0832416989;3572242594.85;121533289379.21;"2025-04-16T23:59:59.999Z"
"2025-04-15T00:00:00.000Z";"2025-04-15T23:59:59.999Z";"2025-04-15T13:50:00.000Z";"2025-04-15T23:53:00.000Z";"2781";2.1267325865;2.181261445;2.0852601393;2.0885493145;2948485956.4;121838937021.42;"2025-04-15T23:59:59.999Z"
"2025-04-14T00:00:00.000Z";"2025-04-14T23:59:59.999Z";"2025-04-14T14:53:00.000Z";"2025-04-14T16:14:00.000Z";"2781";2.1202193895;2.1742611945;2.1104618787;2.1267537124;3284127479.83;124069626958.06;"2025-04-14T23:59:59.999Z"
"2025-04-13T00:00:00.000Z";"2025-04-13T23:59:59.999Z";"2025-04-13T10:02:00.000Z";"2025-04-13T22:49:00.000Z";"2781";2.1586334133;2.2323835662;2.0881034324;2.1201994806;4220100049.29;123689659144.82;"2025-04-13T23:59:59.999Z"
"2025-04-12T00:00:00.000Z";"2025-04-12T23:59:59.999Z";"2025-04-12T14:34:00.000Z";"2025-04-12T03:01:00.000Z";"2781";2.0238867753;2.1717633504;2.0046794375;2.1586203923;3429390185.73;125930661908.37;"2025-04-12T23:59:59.999Z"
"2025-04-11T00:00:00.000Z";"2025-04-11T23:59:59.999Z";"2025-04-11T18:31:00.000Z";"2025-04-11T00:59:00.000Z";"2781";1.9664972829;2.0614121577;1.9500349567;2.0238867753;3459211571.56;118069793450.19;"2025-04-11T23:59:59.999Z"
"2025-04-10T00:00:00.000Z";"2025-04-10T23:59:59.999Z";"2025-04-10T00:02:00.000Z";"2025-04-10T15:53:00.000Z";"2781";2.0517519085;2.0527537219;1.9282950746;1.9664819098;4463765886.13;114597579091.91;"2025-04-10T23:59:59.999Z"
"2025-04-09T00:00:00.000Z";"2025-04-09T23:59:59.999Z";"2025-04-09T21:31:00.000Z";"2025-04-09T01:31:00.000Z";"2781";1.7945020621;2.0865009841;1.7256136506;2.0517378062;9381130205.67;119565790226.08;"2025-04-09T23:59:59.999Z"
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T12:13:00.000Z";"2025-04-08T23:19:00.000Z";"2781";1.8977537988;1.9660460207;1.7820093043;1.7945675815;6468324898.31;104574561979.14;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:19:00.000Z";"2025-04-07T06:56:00.000Z";"2781";1.9178948665;1.9928797821;1.6400879574;1.8977536337;14383598177.41;110591554306.7;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T01:28:00.000Z";"2025-04-06T23:33:00.000Z";"2781";2.1437228391;2.1564836676;1.8691350841;1.9178948665;5158671864.79;111765274512.28;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T12:34:00.000Z";"2025-04-05T03:32:00.000Z";"2781";2.128952317;2.1709361134;2.1146835779;2.1437308105;2089759529.98;124925393865.25;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T21:49:00.000Z";"2025-04-04T11:31:00.000Z";"2781";2.062435141;2.1506246071;2.0225102736;2.12895971;5503342771.31;124064642063.8;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T05:07:00.000Z";"2025-04-03T14:55:00.000Z";"2781";2.0249992345;2.0798630822;1.9658045613;2.062466639;5385004806.56;120188355326.16;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T22:46:00.000Z";"2781";2.1395897883;2.2213132334;1.9911190392;2.0250666347;5687620993.33;117866492631.53;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T09:06:00.000Z";"2025-04-01T01:11:00.000Z";"2781";2.0899261232;2.1927255345;2.0682348941;2.139610894;4034254494.31;124536315730.71;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T00:06:00.000Z";"2025-03-31T10:14:00.000Z";"2781";2.1361415935;2.1373194676;2.027241876;2.0898967226;4506662719.33;121645607467.58;"2025-03-31T23:59:59.999Z"
